x		y		w		h
442		2335	63		35		
506		2334	250		42		
233		2334	204		36		
1277	2279	85		27		
1029	2279	62		33		
388		2279	53		27		
1095	2275	177		37		
235		2275	102		31		
1587	2271	59		35		
617		2271	211		42		
1364	2270	221		36		
891		2270	135		36		
571		2270	44		36		
447		2270	121		36		
339		2270	44		36		
838		2269	49		37		
1442	2216	28		27		
1367	2216	71		33		
914		2216	44		27		
961		2212	140		31		
545		2212	174		35		
1473	2207	171		36		
1152	2207	211		42		
1104	2207	43		36		
724		2207	185		36		
347		2207	193		42		
233		2207	110		43		
1450	2152	25		27		
1355	2152	87		33		
1103	2152	52		27		
1071	2152	24		27		
640		2152	24		27		
233		2152	62		33		
1483	2148	163		37		
940		2144	123		42		
674		2144	89		41		
301		2144	138		35		
1161	2143	185		43		
821		2143	109		42		
768		2143	43		36		
448		2143	186		42		
1240	2088	24		27		
417		2088	52		27		
1270	2080	115		41		
1098	2080	134		39		
1440	2079	206		43		
1390	2079	44		36		
998		2079	92		36		
828		2079	154		42		
779		2079	44		36		
689		2079	86		36		
476		2079	208		36		
294		2079	117		36		
233		2079	56		36		
1620	2025	26		27		
1272	2025	71		27		
1173	2025	90		27		
922		2025	52		27		
328		2017	146		41		
1456	2016	155		36		
1351	2016	94		36		
981		2016	183		36		
834		2016	81		42		
639		2016	186		42		
586		2016	44		36		
483		2016	94		42		
287		2016	33		35		
416		1961	57		33		
475		1957	163		31		
233		1952	178		36		
1456	1897	70		27		
1200	1897	88		33		
1139	1897	53		27		
1048	1897	85		34		
971		1897	70		33		
502		1897	58		27		
1535	1889	111		42		
1345	1888	107		36		
1295	1888	43		36		
744		1888	221		36		
681		1888	59		36		
564		1888	112		36		
233		1888	262		36		
1444	1833	57		33		
1290	1833	148		33		
927		1833	58		33		
489		1833	42		27		
720		1825	203		42		
1602	1824	43		36		
1506	1824	93		36		
1179	1824	107		36		
1131	1824	44		36		
987		1824	141		42		
673		1824	44		36		
535		1824	136		36		
443		1824	42		36		
235		1824	198		43		
1295	1770	53		27		
1535	1762	111		42		
233		1762	69		42		
1350	1761	183		43		
1164	1761	130		42		
1044	1761	116		36		
999		1761	44		36		
841		1761	155		42		
624		1761	215		36		
448		1761	174		36		
421		1761	25		36		
303		1761	116		36		
1157	1706	70		27		
1080	1706	71		33		
524		1706	62		33		
589		1702	178		37		
235		1702	109		37		
396		1698	123		42		
1429	1697	214		40		
1232	1697	192		36		
885		1697	191		36		
772		1697	111		36		
346		1697	44		36		
1506	1642	138		34		
1328	1642	57		33		
539		1642	45		27		
367		1642	53		27		
1391	1634	111		42		
1119	1634	203		42		
1072	1633	43		36		
930		1633	137		36		
829		1633	85		36		
722		1633	103		36		
591		1633	126		36		
426		1633	109		36		
235		1633	127		36		
1466	1579	54		27		
1235	1579	90		27		
481		1579	25		27		
1526	1571	119		42		
297		1571	88		39		
1333	1570	128		36		
1040	1570	190		36		
832		1570	202		36		
730		1570	95		36		
513		1570	103		36		
394		1570	80		36		
235		1570	53		36		
621		1568	101		47		
1620	1515	25		27		
1119	1515	25		27		
923		1515	71		33		
765		1511	152		37		
1409	1507	130		42		
1150	1507	203		42		
1359	1506	44		36		
1001	1506	113		36		
689		1506	69		36		
617		1506	66		36		
477		1506	135		36		
287		1506	185		43		
1545	1504	68		47		
1196	1451	138		27		
1022	1451	52		27		
840		1451	53		27		
396		1451	70		27		
345		1451	45		27		
1081	1443	111		42		
473		1443	98		42		
235		1443	105		42		
895		1442	123		36		
757		1442	81		42		
575		1442	175		43		
1485	1387	70		27		
911		1387	52		27		
233		1387	56		27		
964		1379	232		35		
1559	1378	85		36		
1198	1378	284		36		
801		1378	108		42		
553		1378	246		43		
293		1378	250		36		
1100	1324	41		27		
932		1324	24		27		
726		1316	203		42		
1448	1315	197		43		
1317	1315	125		43		
1255	1315	60		36		
1143	1315	110		36		
960		1315	138		36		
680		1315	44		36		
542		1315	136		36		
461		1315	78		36		
347		1315	108		42		
235		1315	108		36		
1192	1260	25		27		
470		1256	111		31		
1370	1252	130		42		
1226	1252	89		41		
588		1252	137		41		
1507	1251	136		36		
1320	1251	44		36		
1070	1251	117		43		
1005	1251	60		36		
779		1251	221		36		
730		1251	44		36		
419		1251	43		36		
233		1251	181		42		
1398	1196	25		27		
1139	1196	71		27		
583		1196	70		27		
557		1196	25		27		
233		1196	52		27		
1424	1192	222		31		
289		1188	132		41		
1308	1187	87		36		
1211	1187	95		36		
1112	1187	25		36		
991		1187	117		40		
656		1187	334		36		
422		1187	134		36		
1074	1133	53		27		
880		1133	24		27		
536		1133	70		27		
908		1129	163		38		
611		1125	123		42		
234		1125	137		42		
1430	1124	216		42		
1300	1124	124		43		
1254	1124	44		36		
1132	1124	120		36		
786		1124	92		36		
738		1124	44		36		
382		1124	151		36		
1329	1069	42		27		
961		1069	52		27		
436		1069	25		27		
1078	1061	122		35		
713		1061	129		42		
463		1061	203		42		
1602	1060	44		36		
1492	1060	109		36		
1447	1060	44		36		
1374	1060	70		36		
1201	1060	126		36		
1016	1060	60		36		
933		1060	25		36		
843		1060	87		36		
667		1060	44		36		
288		1059	144		41		
366		997		93		42		
234		997		130		42		
464		996		161		36		
1262	941		53		27		
808		941		41		27		
743		941		62		33		
668		941		71		33		
1319	933		119		35		
1602	932		44		36		
1490	932		109		36		
1443	932		44		36		
1214	932		44		36		
1042	932		170		36		
853		932		185		42		
479		932		183		42		
279		932		194		36		
233		932		44		36		
1447	878		53		27		
1015	878		25		27		
686		878		41		27		
233		878		62		33		
473		874		207		31		
1510	870		135		41		
1414	869		25		36		
1291	869		117		43		
1225	869		60		36		
1048	869		170		42		
859		869		147		43		
732		869		118		40		
303		869		164		42		
1252	814		134		33		
1189	814		53		27		
615		814		135		33		
579		814		28		27		
355		814		70		33		
1443	806		202		42		
1108	806		70		39		
807		806		213		41		
1393	805		43		36		
1041	805		59		36		
756		805		44		36		
433		805		141		36		
233		805		114		36		
1487	750		52		27		
1362	750		117		33		
1291	750		63		33		
948		750		44		27		
792		750		24		27		
1002	746		98		37		
285		742		76		35		
1547	741		98		36		
1157	741		124		43		
1106	741		44		36		
824		741		118		43		
535		741		250		42		
442		741		84		40		
368		741		66		36		
233		741		44		36		
1325	687		24		27		
233		687		27		27		
1487	683		159		31		
874		679		111		42		
262		679		140		42		
1355	678		130		42		
1230	678		92		36		
1182	678		44		36		
989		678		191		43		
719		678		151		36		
595		678		120		36		
549		678		44		36		
451		678		96		36		
405		678		43		36		
1403	623		70		33		
605		623		134		33		
545		623		53		27		
1480	615		167		41		
1000	615		205		42		
1239	614		159		36		
1209	614		25		36		
952		614		44		36		
744		614		205		36		
380		614		157		42		
233		614		144		36		
1573	559		71		27		
1238	559		52		27		
387		559		24		27		
1296	551		129		42		
416		551		205		41		
1544	550		26		36		
1427	550		116		43		
1102	550		135		36		
1004	550		96		36		
959		550		43		36		
782		550		175		42		
670		550		110		43		
623		550		43		36		
288		549		97		37		
779		434		322		59		
1052	335		29		41		
798		325		243		52		
1622	174		23		34		
